episode,winner,reward_0,reward_1,epsilon_0,epsilon_1
579,0,0.978,-1.022,0.0549,0.0549
580,1,-1.009,0.991,0.0546,0.0546
581,1,-1.009,0.991,0.0544,0.0544
582,0,0.976,-1.024,0.0541,0.0541
583,1,-1.021,0.979,0.0538,0.0538
584,1,-1.009,0.991,0.0535,0.0535
585,1,-1.009,0.991,0.0533,0.0533
586,1,-1.009,0.991,0.053,0.053
587,1,-1.013,0.987,0.0527,0.0527
588,0,0.976,-1.024,0.0525,0.0525
589,1,-1.019,0.981,0.0522,0.0522
590,0,0.984,-1.016,0.052,0.052
591,0,0.99,-1.01,0.0517,0.0517
592,0,0.99,-1.01,0.0514,0.0514
593,0,0.984,-1.016,0.0512,0.0512
594,1,-1.017,0.983,0.0509,0.0509
595,0,0.98,-1.02,0.0507,0.0507
596,1,-1.013,0.987,0.0504,0.0504
597,1,-1.017,0.983,0.0502,0.0502
598,0,0.984,-1.016,0.05,0.05
599,1,-1.021,0.979,0.05,0.05
600,0,0.988,-1.012,0.05,0.05
601,1,-1.017,0.983,0.05,0.05
602,1,-1.021,0.979,0.05,0.05
603,1,-1.021,0.979,0.05,0.05
604,0,0.988,-1.012,0.05,0.05
605,1,-1.021,0.979,0.05,0.05
606,0,0.988,-1.012,0.05,0.05
